Date,ID,Status
October 1st 2015,2298365,1
October 1st 2015,2298366,1
October 1st 2015,2298361,1
October 1st 2015,2298367,1
October 2nd 2015,2298372,1
October 2nd 2015,2298371,1
October 2nd 2015,2298370,1
October 2nd 2015,2298335,1
October 2nd 2015,2298336,1
October 2nd 2015,2298387,1
October 3rd 2015,2298388,1
October 3rd 2015,2298389,1
October 3rd 2015,2298401,1
October 3rd 2015,2298392,1
October 3rd 2015,2298402,1
October 3rd 2015,2298409,1
October 3rd 2015,2298393,1
October 3rd 2015,2298394,1
October 4th 2015,2298404,1
October 4th 2015,2298413,1
October 4th 2015,2298414,1
October 4th 2015,2298415,1
October 4th 2015,2298421,1
October 4th 2015,2298417,1
October 4th 2015,2298422,1
October 5th 2015,2298430,1
October 5th 2015,2298426,1
October 5th 2015,2298433,1
October 5th 2015,2298438,1
October 5th 2015,2298434,1
October 6th 2015,2298439,1
October 6th 2015,2298442,1
October 6th 2015,2298464,1
October 6th 2015,2298446,1
October 6th 2015,2298471,1
October 6th 2015,2298453,1
October 6th 2015,2298449,1
October 6th 2015,2298450,1
October 6th 2015,2298454,1
October 6th 2015,2298458,1
October 6th 2015,2298465,1
October 6th 2015,2298451,1
October 6th 2015,2298455,1
October 6th 2015,2298459,1
October 6th 2015,2298457,1
October 6th 2015,2298452,1
October 6th 2015,2298456,1
October 7th 2015,2298448,1
October 7th 2015,2298470,1
October 7th 2015,2298466,1
October 7th 2015,2298485,1
October 7th 2015,2298483,1
October 7th 2015,2298486,1
October 7th 2015,2298484,1
October 7th 2015,2298487,1
October 8th 2015,2298494,1
October 8th 2015,2298493,1
October 8th 2015,2298495,1
October 8th 2015,2298502,1
October 8th 2015,2298503,1
October 9th 2015,2298513,1
October 9th 2015,2298521,1
October 9th 2015,2298523,1
October 9th 2015,2298533,1
October 10th 2015,2298542,1
October 10th 2015,2298544,1
October 10th 2015,2298545,1
October 10th 2015,2298530,1
October 11th 2015,2298547,1
October 11th 2015,2298551,1
October 11th 2015,2298552,1
